,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
496,2020-05-29,Italy,231648.0,231732.0,33168.0,33142.0,-84.0,26.0
497,2020-05-28,Spain,237618.0,237906.0,27327.0,27119.0,-288.0,208.0
498,2020-05-29,United States,1721026.0,1721750.0,101275.0,101617.0,-724.0,-342.0
499,2020-05-29,World,5767025.0,5776934.0,359764.0,360089.0,-9909.0,-325.0
500,2020-05-29,United Kingdom,271445.0,269127.0,37653.0,37837.0,2318.0,-184.0
501,2020-05-29,Germany,180149.0,180458.0,8459.0,8450.0,-309.0,9.0
502,2020-05-29,Iran,143531.0,143849.0,7628.0,7627.0,-318.0,1.0
503,2020-05-29,Turkey,159634.0,160979.0,4421.0,4461.0,-1345.0,-40.0
504,2020-05-29,Brazil,432188.0,438238.0,26785.0,26754.0,-6050.0,31.0
505,2020-05-30,France,149851.0,149668.0,28735.0,28714.0,183.0,21.0
506,2020-05-30,China,84168.0,84123.0,4654.0,4638.0,45.0,16.0
507,2020-05-30,Italy,232416.0,232248.0,33274.0,33229.0,168.0,45.0
508,2020-05-29,Spain,238442.0,238564.0,27139.0,27121.0,-122.0,18.0
509,2020-05-30,United States,1742733.0,1747087.0,103211.0,102836.0,-4354.0,375.0
510,2020-05-30,World,5890817.0,5899866.0,365548.0,364891.0,-9049.0,657.0
511,2020-05-30,United Kingdom,271514.0,271222.0,38271.0,38161.0,292.0,110.0
512,2020-05-30,Germany,180889.0,181196.0,8506.0,8489.0,-307.0,17.0
513,2020-05-30,Iran,146022.0,146668.0,7690.0,7677.0,-646.0,13.0
514,2020-05-30,Turkey,161024.0,162120.0,4460.0,4489.0,-1096.0,-29.0
515,2020-05-30,Brazil,462311.0,465166.0,27995.0,27878.0,-2855.0,117.0
516,2020-05-31,France,152340.0,151496.0,28783.0,28771.0,844.0,12.0
517,2020-05-31,China,84190.0,84128.0,4654.0,4638.0,62.0,16.0
518,2020-05-31,Italy,232942.0,232664.0,33317.0,33340.0,278.0,-23.0
519,2020-05-30,Spain,239675.0,239228.0,27140.0,27125.0,447.0,15.0
520,2020-05-31,United States,1770902.0,1770384.0,104130.0,103781.0,518.0,349.0
521,2020-05-31,World,6027384.0,6028135.0,370009.0,368944.0,-751.0,1065.0
522,2020-05-31,United Kingdom,273498.0,272826.0,38563.0,38376.0,672.0,187.0
523,2020-05-31,Germany,181976.0,181482.0,8526.0,8500.0,494.0,26.0
524,2020-05-31,Iran,148967.0,148950.0,7746.0,7734.0,17.0,12.0
525,2020-05-31,Turkey,164188.0,163103.0,4549.0,4515.0,1085.0,34.0
526,2020-05-31,Brazil,492746.0,498440.0,29174.0,28834.0,-5694.0,340.0
527,2020-06-01,France,152320.0,151753.0,28831.0,28802.0,567.0,29.0
528,2020-06-01,China,84195.0,84147.0,4653.0,4638.0,48.0,15.0
529,2020-06-01,Italy,233288.0,233019.0,33444.0,33415.0,269.0,29.0
530,2020-05-31,Spain,239901.0,239429.0,27145.0,27127.0,472.0,18.0
531,2020-06-01,United States,1797391.0,1790191.0,105105.0,104383.0,7200.0,722.0
532,2020-06-01,World,6158466.0,6136085.0,374127.0,371857.0,22381.0,2270.0
533,2020-06-01,United Kingdom,275268.0,274762.0,38729.0,38489.0,506.0,240.0
534,2020-06-01,Germany,182255.0,181815.0,8532.0,8511.0,440.0,21.0
535,2020-06-01,Iran,151724.0,151466.0,7792.0,7797.0,258.0,-5.0
536,2020-06-01,Turkey,164193.0,163942.0,4541.0,4540.0,251.0,1.0
537,2020-06-01,Brazil,528060.0,514849.0,30107.0,29314.0,13211.0,793.0
538,2020-06-02,France,153238.0,152091.0,28859.0,28833.0,1147.0,26.0
539,2020-06-02,China,84215.0,84154.0,4653.0,4638.0,61.0,15.0
540,2020-06-02,Italy,233552.0,233197.0,33542.0,33475.0,355.0,67.0
541,2020-06-01,Spain,240105.0,239638.0,27147.0,27940.0,467.0,-793.0
542,2020-06-02,United States,1815465.0,1811277.0,105457.0,105147.0,4188.0,310.0
543,2020-06-02,World,6273925.0,6245352.0,376387.0,376427.0,28573.0,-40.0
544,2020-06-02,United Kingdom,276769.0,276332.0,38743.0,39045.0,437.0,-302.0
545,2020-06-02,Germany,182184.0,182028.0,8520.0,8522.0,156.0,-2.0
